15-Feb-25 19:27:26 - Length of trainig data is  2119719
15-Feb-25 19:27:31 - Vocaab training legth to 2119719
15-Feb-25 19:27:31 - Training Non contextual tokeniser
15-Feb-25 19:27:32 - Training of Vocabulary complete
15-Feb-25 19:27:32 - Sentence: The Cat sat on the Fence
15-Feb-25 19:27:32 - Tokens:  ['The▁', 'C', 'at▁', 'sat▁', 'on▁', 'the▁', 'F', 'en', 'ce▁']
15-Feb-25 19:27:32 - Token IDs: [50, 1972, 53, 1106, 58, 15, 1971, 23, 122]
15-Feb-25 19:27:32 - Token folder already exisitng: ./train_tokens Not overwriting
15-Feb-25 19:27:32 - vocab_size=2000 embedding_dim/d_model=512
15-Feb-25 19:27:33 - Training model...
15-Feb-25 19:28:06 - [Epoch=1 | Batch=2350] loss=5.6184
15-Feb-25 19:28:06 - [Epoch=1 | Batch=2375] loss=5.6449
15-Feb-25 19:28:06 - [Epoch=1 | Batch=2400] loss=5.6107
15-Feb-25 19:28:07 - [Epoch=1 | Batch=2425] loss=5.7393
15-Feb-25 19:28:07 - [Epoch=1 | Batch=2450] loss=5.8791
15-Feb-25 19:28:07 - [Epoch=1 | Batch=2475] loss=5.8619
15-Feb-25 19:28:08 - [Epoch=1 | Batch=2500] loss=5.6159
15-Feb-25 19:28:08 - [Epoch=1 | Batch=2525] loss=5.5990
15-Feb-25 19:28:08 - [Epoch=1 | Batch=2550] loss=5.5982
15-Feb-25 19:28:09 - [Epoch=1 | Batch=2575] loss=5.6488
15-Feb-25 19:28:09 - [Epoch=1 | Batch=2600] loss=5.5721
15-Feb-25 19:28:09 - [Epoch=1 | Batch=2625] loss=5.5468
15-Feb-25 19:28:10 - [Epoch=1 | Batch=2650] loss=5.5660
15-Feb-25 19:28:10 - [Epoch=1 | Batch=2675] loss=5.5291
15-Feb-25 19:28:10 - [Epoch=1 | Batch=2700] loss=5.5016
15-Feb-25 19:28:11 - [Epoch=1 | Batch=2725] loss=5.5267
15-Feb-25 19:28:11 - [Epoch=1 | Batch=2750] loss=5.5583
15-Feb-25 19:28:12 - [Epoch=1 | Batch=2775] loss=5.5535
15-Feb-25 19:28:12 - [Epoch=1 | Batch=2800] loss=5.5403
15-Feb-25 19:28:12 - [Epoch=1 | Batch=2825] loss=5.4791
15-Feb-25 19:28:13 - [Epoch=1 | Batch=2850] loss=5.4410
15-Feb-25 19:28:13 - [Epoch=1 | Batch=2875] loss=5.6761
15-Feb-25 19:28:13 - [Epoch=1 | Batch=2900] loss=5.8148
15-Feb-25 19:28:14 - [Epoch=1 | Batch=2925] loss=5.8011
15-Feb-25 19:28:14 - [Epoch=1 | Batch=2950] loss=5.6739
15-Feb-25 19:28:14 - [Epoch=1 | Batch=2975] loss=5.7926
15-Feb-25 19:28:15 - [Epoch=1 | Batch=3000] loss=5.8490
15-Feb-25 19:28:15 - [Epoch=1 | Batch=3025] loss=5.7458
15-Feb-25 19:28:15 - [Epoch=1 | Batch=3050] loss=5.8088
15-Feb-25 19:28:16 - [Epoch=1 | Batch=3075] loss=5.7691
15-Feb-25 19:28:16 - [Epoch=1 | Batch=3100] loss=5.4041
15-Feb-25 19:28:16 - [Epoch=1 | Batch=3125] loss=5.5636
15-Feb-25 19:28:17 - [Epoch=1 | Batch=3150] loss=5.6933
15-Feb-25 19:28:17 - [Epoch=1 | Batch=3175] loss=5.6294
15-Feb-25 19:28:18 - [Epoch=1 | Batch=3200] loss=5.4041
15-Feb-25 19:28:18 - [Epoch=1 | Batch=3225] loss=5.3063
15-Feb-25 19:28:18 - [Epoch=1 | Batch=3250] loss=5.5040
15-Feb-25 19:28:19 - [Epoch=1 | Batch=3275] loss=5.7055
15-Feb-25 19:28:19 - [Epoch=1 | Batch=3300] loss=5.6956
15-Feb-25 19:28:19 - [Epoch=1 | Batch=3325] loss=5.5319
15-Feb-25 19:28:20 - [Epoch=1 | Batch=3350] loss=5.4837
15-Feb-25 19:28:20 - [Epoch=1 | Batch=3375] loss=5.3986
15-Feb-25 19:28:20 - [Epoch=1 | Batch=3400] loss=5.3640
15-Feb-25 19:28:21 - [Epoch=1 | Batch=3425] loss=5.6425
15-Feb-25 19:28:21 - [Epoch=1 | Batch=3450] loss=5.6259
15-Feb-25 19:28:21 - [Epoch=1 | Batch=3475] loss=5.5521
15-Feb-25 19:28:22 - [Epoch=1 | Batch=3500] loss=5.4164
15-Feb-25 19:28:22 - [Epoch=1 | Batch=3525] loss=5.3476
15-Feb-25 19:28:22 - [Epoch=1 | Batch=3550] loss=5.2547
15-Feb-25 19:28:23 - [Epoch=1 | Batch=3575] loss=5.3874
15-Feb-25 19:28:23 - [Epoch=1 | Batch=3600] loss=5.4048
15-Feb-25 19:28:23 - [Epoch=1 | Batch=3625] loss=5.5172
15-Feb-25 19:28:24 - [Epoch=1 | Batch=3650] loss=5.5263
15-Feb-25 19:28:24 - [Epoch=1 | Batch=3675] loss=5.5751
15-Feb-25 19:28:24 - [Epoch=1 | Batch=3700] loss=5.6126
15-Feb-25 19:28:25 - [Epoch=1 | Batch=3725] loss=5.6175
15-Feb-25 19:28:25 - [Epoch=1 | Batch=3750] loss=5.6013
15-Feb-25 19:28:25 - [Epoch=1 | Batch=3775] loss=5.5979
15-Feb-25 19:28:26 - [Epoch=1 | Batch=3800] loss=5.5786
15-Feb-25 19:28:26 - [Epoch=1 | Batch=3825] loss=5.4597
15-Feb-25 19:28:26 - [Epoch=1 | Batch=3850] loss=5.5078
15-Feb-25 19:28:27 - [Epoch=1 | Batch=3875] loss=5.6042
15-Feb-25 19:28:27 - [Epoch=1 | Batch=3900] loss=5.5599
15-Feb-25 19:28:27 - [Epoch=1 | Batch=3925] loss=5.5465
15-Feb-25 19:28:28 - [Epoch=1 | Batch=3950] loss=5.4963
15-Feb-25 19:28:28 - [Epoch=1 | Batch=3975] loss=5.4443
15-Feb-25 19:28:28 - [Epoch=1 | Batch=4000] loss=5.4218
15-Feb-25 19:28:29 - [Epoch=1 | Batch=4025] loss=5.5798
15-Feb-25 19:28:29 - [Epoch=1 | Batch=4050] loss=5.5543
15-Feb-25 19:28:30 - [Epoch=1 | Batch=4075] loss=5.4278
15-Feb-25 19:28:30 - [Epoch=1 | Batch=4100] loss=5.4739
15-Feb-25 19:28:30 - [Epoch=1 | Batch=4125] loss=5.4582
