17-Feb-25 15:47:59 - Created path loss file loss_log_20250217154759_.npy.npz
17-Feb-25 15:48:12 - Length of trainig data is  2119719
17-Feb-25 15:48:21 - Vocaab training legth to 2119719
17-Feb-25 15:48:21 - Training Non contextual tokeniser
17-Feb-25 15:48:21 - Training of Vocabulary complete
17-Feb-25 15:48:21 - Sentence: The Cat sat on the Fence
17-Feb-25 15:48:21 - Tokens:  ['The▁', 'C', 'at▁', 'sat▁', 'on▁', 'the▁', 'F', 'en', 'ce▁']
17-Feb-25 15:48:21 - Token IDs: [50, 1972, 53, 1106, 58, 15, 1971, 23, 122]
17-Feb-25 15:48:21 - Token folder already exisitng: ./train_tokens Not overwriting
17-Feb-25 15:48:21 - vocab_size=2000 embedding_dim/d_model=512
17-Feb-25 15:48:23 - Training model...
17-Feb-25 15:48:23 - Total Training Steps: 26400
17-Feb-25 15:48:23 - batch_input.shape=torch.Size([20, 999])
17-Feb-25 15:48:23 - batch_labels.shape=torch.Size([20, 999])
17-Feb-25 15:48:23 - Example input: Ben says. "Can you show me how to 
17-Feb-25 15:48:23 - Example labels: says. "Can you show me how to play 
17-Feb-25 15:48:23 - pos_embedded_tokens.shape=torch.Size([20, 999, 512]), causal_mask.shape=torch.Size([999, 999])batch_size=20, seq_length=1000
17-Feb-25 18:10:11 - [Epoch=1 | Step=24500/26400] loss=2.1391
17-Feb-25 18:10:47 - [Epoch=1 | Step=24600/26400] loss=2.3529
17-Feb-25 18:11:23 - [Epoch=1 | Step=24700/26400] loss=2.6143
17-Feb-25 18:11:58 - [Epoch=1 | Step=24800/26400] loss=2.5806
17-Feb-25 18:12:33 - [Epoch=1 | Step=24900/26400] loss=2.1382
17-Feb-25 18:13:08 - [Epoch=1 | Step=25000/26400] loss=2.6276
17-Feb-25 18:13:42 - [Epoch=1 | Step=25100/26400] loss=2.1374
17-Feb-25 18:14:18 - [Epoch=1 | Step=25200/26400] loss=2.3926
17-Feb-25 18:14:53 - [Epoch=1 | Step=25300/26400] loss=2.5207
17-Feb-25 18:15:30 - [Epoch=1 | Step=25400/26400] loss=2.1672
17-Feb-25 18:16:08 - [Epoch=1 | Step=25500/26400] loss=2.1708
17-Feb-25 18:16:45 - [Epoch=1 | Step=25600/26400] loss=2.4070
17-Feb-25 18:17:19 - [Epoch=1 | Step=25700/26400] loss=2.5988
17-Feb-25 18:17:54 - [Epoch=1 | Step=25800/26400] loss=2.1158
17-Feb-25 18:18:29 - [Epoch=1 | Step=25900/26400] loss=2.6195
17-Feb-25 18:19:06 - [Epoch=1 | Step=26000/26400] loss=2.5812
17-Feb-25 18:19:42 - [Epoch=1 | Step=26100/26400] loss=2.6310
17-Feb-25 18:20:20 - [Epoch=1 | Step=26200/26400] loss=2.2361
17-Feb-25 18:20:56 - [Epoch=1 | Step=26300/26400] loss=2.4467
17-Feb-25 18:21:33 - [Epoch=1 | Step=26400/26400] loss=2.6649
17-Feb-25 18:21:33 - ---------Epoch 01 | Loss: 2.6649
17-Feb-25 18:21:33 - Model weights saved at  model_weights20250217154759.pth
17-Feb-25 18:21:33 - Generated Text=Bloom lived in a big garden with many other animals. One day, Billy was playing with his friends, but he didn't want to share. He wanted to play with his friends, but he didn't want to share. He tried to take a nap, but he was too shy to share. He tried to take a nap, but he was too shy to take a nap. He was so sad and he didn't know what to do. He decided to take a nap. 
